Parameter,Baseline (Metric),Optimized (Metric),Difference,Baseline Success Probability,Optimized Success Probability,Original Min Range,Original Max Range
release_ball_direction_x,0.32913750312923884,0.5083172720043937,0.17917976887515485,0.111603685,0.9875152,0.0086992707706908,0.5083172720043937
release_ball_direction_z,0.930600455022499,0.8894667117617155,-0.04113374326078345,0.111603685,0.9875152,0.859473648316606,0.9953476001943634
release_ball_direction_y,-0.0755239887922649,-0.14121176339318983,-0.06568777460092493,0.111603685,0.9875152,-0.3653693723692169,0.0535667227262484
elbow_release_angle,65.30117654381489,38.87865035712956,-26.42252618668533,0.111603685,0.9875152,38.87865035712956,80.6475935371033
elbow_max_angle,104.10237840890863,98.62013758662188,-5.482240822286755,0.111603685,0.9875152,98.62013758662188,118.01766313555406
wrist_release_angle,26.839447812656964,28.692039455554806,1.852591642897842,0.111603685,0.9875152,17.828917456622435,37.87109829636807
wrist_max_angle,38.41807578794308,39.63079653942105,1.212720751477967,0.111603685,0.9875152,31.425878434541,47.49279342050863
knee_release_angle,30.655565454299,21.979190367270903,-8.676375087028099,0.111603685,0.9875152,21.979190367270903,38.16210192782806
knee_max_angle,61.975105740604455,66.53271533316733,4.557609592562876,0.111603685,0.9875152,56.59997309539,66.53271533316733
release_ball_speed,9.868363701892775,13.785014687541011,3.9166509856482357,0.111603685,0.9875152,6.185011058988996,13.785014687541011
release_ball_velocity_x,3.4334046345811076,0.060606060606027,-3.3727985739750808,0.111603685,0.9875152,0.060606060606027,6.636363636363672
release_ball_velocity_y,-0.7035935828877014,-3.454545454545454,-2.750951871657753,0.111603685,0.9875152,-3.454545454545454,0.6176470588235299
release_ball_velocity_z,9.129033868092689,6.090909090909079,-3.0381247771836097,0.111603685,0.9875152,6.090909090909079,12.24242424242424
calculated_release_angle,64.02026918503617,86.12455360017364,22.10428441513747,0.111603685,0.9875152,56.95801261527676,86.12455360017364
