Parameter,Optimized_Metric,Baseline_Success_Prob,Optimized_Success_Prob,Min_Feature_Value,Max_Feature_Value,Feature_Range,Range_percent,Bayes_Min,Bayes_Max
release_ball_direction_x,0.5044260268247447,0.075750574,0.98933816,0.0086992707706908,0.5083172720043937,0.49961800123370287,0.09992360024674057,0.4045024265780041,0.5083172720043937
release_ball_direction_z,0.9433733012411674,0.075750574,0.98933816,0.859473648316606,0.9953476001943634,0.13587395187775742,0.027174790375551483,0.9161985108656159,0.9705480916167188
release_ball_direction_y,-0.1091257857614564,0.075750574,0.98933816,-0.3653693723692169,0.0535667227262484,0.4189360950954653,0.08378721901909307,-0.19291300478054946,-0.02533856674236333
elbow_release_angle,39.17380245834429,0.075750574,0.98933816,38.87865035712956,80.6475935371033,41.768943179973746,8.35378863599475,38.87865035712956,47.527591094339044
elbow_max_angle,99.06749156558308,0.075750574,0.98933816,98.62013758662188,118.01766313555406,19.39752554893218,3.879505109786436,98.62013758662188,102.94699667536952
wrist_release_angle,28.346546097637145,0.075750574,0.98933816,17.828917456622435,37.87109829636807,20.042180839745633,4.008436167949127,24.338109929688017,32.35498226558627
wrist_max_angle,37.85041067329642,0.075750574,0.98933816,31.425878434541,47.49279342050863,16.06691498596763,3.213382997193526,34.637027676102896,41.06379367048995
knee_release_angle,22.73437666797159,0.075750574,0.98933816,21.979190367270903,38.16210192782806,16.18291156055716,3.2365823121114317,21.979190367270903,25.97095898008302
knee_max_angle,66.27203566665534,0.075750574,0.98933816,56.59997309539,66.53271533316733,9.932742237777333,1.9865484475554667,64.28548721909988,66.53271533316733
release_ball_speed,7.954074090882225,0.075750574,0.98933816,6.185011058988996,13.785014687541011,7.600003628552015,1.5200007257104031,6.434073365171821,9.474074816592628
release_ball_velocity_x,0.6564120088976126,0.075750574,0.98933816,0.060606060606027,6.636363636363672,6.575757575757645,1.3151515151515292,0.060606060606027,1.9715635240491418
release_ball_velocity_y,-0.936358576967133,0.075750574,0.98933816,-3.454545454545454,0.6176470588235299,4.072192513368984,0.8144385026737967,-1.7507970796409298,-0.12192007429333629
release_ball_velocity_z,8.44362982506769,0.075750574,0.98933816,6.090909090909079,12.24242424242424,6.151515151515161,1.2303030303030322,7.213326794764658,9.673932855370722
calculated_release_angle,85.63545654377691,0.075750574,0.98933816,56.95801261527676,86.12455360017364,29.166540984896884,5.8333081969793765,79.80214834679754,86.12455360017364
